symbol,timestamp,interval,open,high,low,close,volume
AAPL,2025-11-03T11:50:28.989550,tick,271.01,271.01,271.01,271.01,10.0
AAPL,2025-11-03T11:50:40.718484,tick,271.05,271.05,271.05,271.05,1.0
AAPL,2025-11-03T11:50:40.888002,tick,271.04,271.04,271.04,271.04,3.0
AAPL,2025-11-03T11:50:42.806349,tick,271.0,271.0,271.0,271.0,2.0
AAPL,2025-11-03T11:50:51.057257,tick,271.01,271.01,271.01,271.01,6.0
AAPL,2025-11-03T11:50:51.057269,tick,271.01,271.01,271.01,271.01,44.0
AAPL,2025-11-03T11:51:22.856552,tick,270.99,270.99,270.99,270.99,1.0
AAPL,2025-11-03T11:51:26.582014,tick,271.0,271.0,271.0,271.0,1.0
AAPL,2025-11-03T11:51:26.582015,tick,271.0,271.0,271.0,271.0,2.0
AAPL,2025-11-03T11:51:29.418684,tick,271.0,271.0,271.0,271.0,8.0
AAPL,2025-11-03T11:51:35.471057,tick,270.99,270.99,270.99,270.99,1.0
AAPL,2025-11-03T11:51:43.153950,tick,270.91,270.91,270.91,270.91,3.0
AAPL,2025-11-03T11:51:56.831683,tick,270.91,270.91,270.91,270.91,1.0
AAPL,2025-11-03T11:51:56.831901,tick,270.91,270.91,270.91,270.91,3.0
AAPL,2025-11-03T11:51:56.831905,tick,270.91,270.91,270.91,270.91,3.0
AAPL,2025-11-03T11:51:56.831915,tick,270.9,270.9,270.9,270.9,100.0
AAPL,2025-11-03T11:51:56.831917,tick,270.9,270.9,270.9,270.9,10.0
AAPL,2025-11-03T11:51:56.832014,tick,270.91,270.91,270.91,270.91,1.0
AAPL,2025-11-03T11:51:56.832056,tick,270.91,270.91,270.91,270.91,91.0
AAPL,2025-11-03T11:51:56.832058,tick,270.91,270.91,270.91,270.91,1.0
AAPL,2025-11-03T11:51:56.832059,tick,270.91,270.91,270.91,270.91,5.0
AAPL,2025-11-03T11:52:05.294278,tick,270.9,270.9,270.9,270.9,20.0
AAPL,2025-11-03T11:52:13.593842,tick,270.84,270.84,270.84,270.84,6.0
AAPL,2025-11-03T11:52:13.594286,tick,270.8,270.8,270.8,270.8,26.0
AAPL,2025-11-03T11:52:13.594287,tick,270.8,270.8,270.8,270.8,4.0
AAPL,2025-11-03T11:52:24.324027,tick,270.84,270.84,270.84,270.84,1.0
AAPL,2025-11-03T11:52:31.561010,tick,270.79,270.79,270.79,270.79,2.0
AAPL,2025-11-03T11:52:31.561023,tick,270.78,270.78,270.78,270.78,84.0
AAPL,2025-11-03T11:52:31.561038,tick,270.75,270.75,270.75,270.75,3.0
AAPL,2025-11-03T11:52:31.561046,tick,270.74,270.74,270.74,270.74,1.0
AAPL,2025-11-03T11:52:31.561053,tick,270.74,270.74,270.74,270.74,1.0
AAPL,2025-11-03T11:52:31.561090,tick,270.73,270.73,270.73,270.73,1.0
AAPL,2025-11-03T11:52:31.561091,tick,270.72,270.72,270.72,270.72,5.0
AAPL,2025-11-03T11:52:31.561093,tick,270.8,270.8,270.8,270.8,1.0
AAPL,2025-11-03T11:52:31.561111,tick,270.72,270.72,270.72,270.72,1.0
AAPL,2025-11-03T11:52:31.561115,tick,270.77,270.77,270.77,270.77,25.0
AAPL,2025-11-03T11:52:31.561116,tick,270.71,270.71,270.71,270.71,1.0
AAPL,2025-11-03T11:52:31.561119,tick,270.7,270.7,270.7,270.7,3.0
AAPL,2025-11-03T11:52:31.561120,tick,270.79,270.79,270.79,270.79,10.0
AAPL,2025-11-03T11:52:31.561129,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:52:31.561135,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:52:31.561150,tick,270.79,270.79,270.79,270.79,2.0
AAPL,2025-11-03T11:52:31.561188,tick,270.75,270.75,270.75,270.75,1.0
AAPL,2025-11-03T11:52:31.561193,tick,270.75,270.75,270.75,270.75,1.0
AAPL,2025-11-03T11:52:31.561211,tick,270.74,270.74,270.74,270.74,1.0
AAPL,2025-11-03T11:52:31.561214,tick,270.73,270.73,270.73,270.73,5.0
AAPL,2025-11-03T11:52:31.561225,tick,270.73,270.73,270.73,270.73,1.0
AAPL,2025-11-03T11:52:31.561368,tick,270.71,270.71,270.71,270.71,1.0
AAPL,2025-11-03T11:52:31.561399,tick,270.8,270.8,270.8,270.8,6.0
AAPL,2025-11-03T11:52:31.561401,tick,270.79,270.79,270.79,270.79,3.0
AAPL,2025-11-03T11:52:31.561402,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:52:31.561430,tick,270.73,270.73,270.73,270.73,2.0
AAPL,2025-11-03T11:52:31.561460,tick,270.73,270.73,270.73,270.73,1.0
AAPL,2025-11-03T11:52:36.211904,tick,270.76,270.76,270.76,270.76,50.0
AAPL,2025-11-03T11:52:54.599050,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:52:55.939824,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:52:55.940148,tick,270.7,270.7,270.7,270.7,10.0
AAPL,2025-11-03T11:52:58.113448,tick,270.73,270.73,270.73,270.73,1.0
AAPL,2025-11-03T11:53:01.128948,tick,270.73,270.73,270.73,270.73,1.0
AAPL,2025-11-03T11:53:01.445689,tick,270.73,270.73,270.73,270.73,2.0
AAPL,2025-11-03T11:53:01.445698,tick,270.73,270.73,270.73,270.73,3.0
AAPL,2025-11-03T11:53:38.791094,tick,270.76,270.76,270.76,270.76,6.0
AAPL,2025-11-03T11:53:38.791144,tick,270.76,270.76,270.76,270.76,11.0
AAPL,2025-11-03T11:53:38.791193,tick,270.76,270.76,270.76,270.76,14.0
AAPL,2025-11-03T11:53:38.791207,tick,270.76,270.76,270.76,270.76,23.0
AAPL,2025-11-03T11:53:47.917060,tick,270.71,270.71,270.71,270.71,11.0
AAPL,2025-11-03T11:53:47.917063,tick,270.71,270.71,270.71,270.71,32.0
AAPL,2025-11-03T11:54:06.823794,tick,270.79,270.79,270.79,270.79,50.0
AAPL,2025-11-03T11:54:06.823802,tick,270.8,270.8,270.8,270.8,100.0
AAPL,2025-11-03T11:54:06.823875,tick,270.8,270.8,270.8,270.8,25.0
AAPL,2025-11-03T11:54:06.823912,tick,270.8,270.8,270.8,270.8,11.0
AAPL,2025-11-03T11:54:06.823971,tick,270.8,270.8,270.8,270.8,114.0
AAPL,2025-11-03T11:54:25.579178,tick,270.8,270.8,270.8,270.8,11.0
AAPL,2025-11-03T11:54:25.579271,tick,270.82,270.82,270.82,270.82,12.0
AAPL,2025-11-03T11:54:25.579283,tick,270.82,270.82,270.82,270.82,38.0
AAPL,2025-11-03T11:54:26.520307,tick,270.84,270.84,270.84,270.84,1.0
AAPL,2025-11-03T11:54:37.341013,tick,270.8,270.8,270.8,270.8,3.0
AAPL,2025-11-03T11:54:43.860083,tick,270.8,270.8,270.8,270.8,1.0
AAPL,2025-11-03T11:54:48.055494,tick,270.75,270.75,270.75,270.75,1.0
AAPL,2025-11-03T11:54:49.652903,tick,270.8,270.8,270.8,270.8,17.0
AAPL,2025-11-03T11:54:49.653016,tick,270.8,270.8,270.8,270.8,5.0
AAPL,2025-11-03T11:55:01.661257,tick,270.8,270.8,270.8,270.8,2.0
AAPL,2025-11-03T11:55:09.968449,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:55:11.775072,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:55:11.775073,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:55:11.775094,tick,270.69,270.69,270.69,270.69,94.0
AAPL,2025-11-03T11:55:11.775123,tick,270.69,270.69,270.69,270.69,6.0
AAPL,2025-11-03T11:55:11.775128,tick,270.75,270.75,270.75,270.75,266.0
AAPL,2025-11-03T11:55:11.775147,tick,270.69,270.69,270.69,270.69,6.0
AAPL,2025-11-03T11:55:11.775156,tick,270.69,270.69,270.69,270.69,18.0
AAPL,2025-11-03T11:55:11.775158,tick,270.69,270.69,270.69,270.69,19.0
AAPL,2025-11-03T11:55:11.775210,tick,270.75,270.75,270.75,270.75,14.0
AAPL,2025-11-03T11:55:11.775211,tick,270.75,270.75,270.75,270.75,11.0
AAPL,2025-11-03T11:55:11.775213,tick,270.75,270.75,270.75,270.75,41.0
AAPL,2025-11-03T11:55:11.775268,tick,270.7,270.7,270.7,270.7,2.0
AAPL,2025-11-03T11:55:11.775272,tick,270.7,270.7,270.7,270.7,2.0
AAPL,2025-11-03T11:55:11.775292,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:55:11.775449,tick,270.71,270.71,270.71,270.71,1.0
AAPL,2025-11-03T11:55:11.775512,tick,270.7,270.7,270.7,270.7,1.0
AAPL,2025-11-03T11:55:11.775686,tick,270.69,270.69,270.69,270.69,95.0
AAPL,2025-11-03T11:55:11.775775,tick,270.69,270.69,270.69,270.69,5.0
AAPL,2025-11-03T11:55:11.775776,tick,270.69,270.69,270.69,270.69,5.0
AAPL,2025-11-03T11:55:11.775790,tick,270.69,270.69,270.69,270.69,39.0
AAPL,2025-11-03T11:55:11.775840,tick,270.68,270.68,270.68,270.68,1.0
AAPL,2025-11-03T11:55:16.739079,tick,270.65,270.65,270.65,270.65,18.0
AAPL,2025-11-03T11:55:54.522767,tick,270.65,270.65,270.65,270.65,1.0
AAPL,2025-11-03T11:55:54.522819,tick,270.65,270.65,270.65,270.65,11.0
AAPL,2025-11-03T11:55:54.522836,tick,270.65,270.65,270.65,270.65,15.0
AAPL,2025-11-03T11:56:08.741368,tick,270.76,270.76,270.76,270.76,9.0
AAPL,2025-11-03T11:56:09.322337,tick,270.71,270.71,270.71,270.71,4.0
AAPL,2025-11-03T11:56:19.934292,tick,270.75,270.75,270.75,270.75,5.0
AAPL,2025-11-03T11:56:23.605457,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:56:23.605764,tick,270.78,270.78,270.78,270.78,50.0
AAPL,2025-11-03T11:56:23.605767,tick,270.8,270.8,270.8,270.8,40.0
